UID        PID  PPID  C STIME TTY          TIME CMD
root      7755     1  0 Aug03 ?        00:18:08 /usr/bin/python3 /usr/bin/fail2ban-server -xf start
kwesbro+  8067     1  0 Aug24 ?        00:00:02 /lib/systemd/systemd --user
kwesbro+  8068  8067  0 Aug24 ?        00:00:00 (sd-pam)
kwesbro+  8082  7707  0 Aug24 ?        00:00:05 sshd: kwesbrook@notty
kwesbro+  8083  8082  0 Aug24 ?        00:00:00 bash
root      8084  1466  0 Aug08 pts/8    00:00:00 sudo -s
root      8085  8084  0 Aug08 pts/8    00:00:00 /bin/bash
www-data  8118 29983  0 14:34 ?        00:00:00 /usr/sbin/apache2 -k start
root      8126     2  0 14:34 ?        00:00:00 [kworker/u40:2-events_unbound]
kwesbro+  8128  8083  0 Aug24 ?        00:00:00 sh /home/stu/kwesbrook/.vscode-server/bin/3866c3553be8b268c8a7f8c0482c0c0177aa8bfa/server.sh --start-server --host=127.0.0.1 --enable-remote-auto-shutdown --port=0 --connection-secret /home/stu/kwesbrook/.vscode-server/.3866c3553be8b268c8a7f8c0482c0c0177aa8bfa.token
kwesbro+  8136  8128  0 Aug24 ?        00:00:33 /home/stu/kwesbrook/.vscode-server/bin/3866c3553be8b268c8a7f8c0482c0c0177aa8bfa/node /home/stu/kwesbrook/.vscode-server/bin/3866c3553be8b268c8a7f8c0482c0c0177aa8bfa/out/vs/server/main.js --start-server --host=127.0.0.1 --enable-remote-auto-shutdown --port=0 --connection-secret /home/stu/kwesbrook/.vscode-server/.3866c3553be8b268c8a7f8c0482c0c0177aa8bfa.token
kwesbro+  8250  8136  0 Aug24 ?        00:00:30 /home/stu/kwesbrook/.vscode-server/bin/3866c3553be8b268c8a7f8c0482c0c0177aa8bfa/node /home/stu/kwesbrook/.vscode-server/bin/3866c3553be8b268c8a7f8c0482c0c0177aa8bfa/out/bootstrap-fork --type=ptyHost
steve     8265 13971  0 Aug18 pts/0    00:00:00 tmux -u -2 -f /usr/share/byobu/profiles/tmuxrc new-session -n - /usr/bin/byobu-shell
steve     8297     1  0 Aug18 ?        01:33:11 tmux -u -2 -f /usr/share/byobu/profiles/tmuxrc new-session -n - /usr/bin/byobu-shell
steve     8304  8297  0 Aug18 pts/11   00:00:00 /bin/bash
root      8329  1109  0 11:05 ?        00:00:00 sshd: dfanucchi [priv]
steve     8365  8304  0 Aug18 pts/11   00:01:30 alpine
dfanucc+  8455     1  0 11:05 ?        00:00:01 /lib/systemd/systemd --user
dfanucc+  8456  8455  0 11:05 ?        00:00:00 (sd-pam)
dfanucc+  8470  8329  0 11:05 ?        00:00:00 sshd: dfanucchi@pts/32
dfanucc+  8499  8470  0 11:05 pts/32   00:00:00 -bash
root      8518  1109  0 13:15 ?        00:00:00 sshd: kwesbrook [priv]
root      8929     2  0 14:14 ?        00:00:00 [kworker/12:2-mm_percpu_wq]
kwesbro+  8958  8518  0 13:16 ?        00:00:05 sshd: kwesbrook@notty
kwesbro+  8959  8958  0 13:16 ?        00:00:00 bash
kwesbro+  9011  8136  0 13:16 ?        00:00:00 /home/stu/kwesbrook/.vscode-server/bin/3866c3553be8b268c8a7f8c0482c0c0177aa8bfa/node /home/stu/kwesbrook/.vscode-server/bin/3866c3553be8b268c8a7f8c0482c0c0177aa8bfa/out/bootstrap-fork --type=watcherService
kwesbro+  9018  8136  0 13:16 ?        00:00:47 /home/stu/kwesbrook/.vscode-server/bin/3866c3553be8b268c8a7f8c0482c0c0177aa8bfa/node /home/stu/kwesbrook/.vscode-server/bin/3866c3553be8b268c8a7f8c0482c0c0177aa8bfa/out/bootstrap-fork --type=extensionHost --uriTransformerPath=/home/stu/kwesbrook/.vscode-server/bin/3866c3553be8b268c8a7f8c0482c0c0177aa8bfa/out/vs/server/uriTransformer.js
kwesbro+  9331  9018  0 13:16 ?        00:00:24 /home/stu/kwesbrook/.vscode-server/extensions/ms-vscode.cpptools-1.6.0/bin/cpptools
melissa   9580     1  0 Jun21 ?        00:00:00 sh -c (soffice --nologo --calc '/tmp/img-VND.M-62437.xls' ;  sleep 5 ; rm -f /tmp/img-VND.M-62437.xls) & 
melissa   9581  9580  0 Jun21 ?        00:00:09 /usr/lib/libreoffice/program/oosplash --nologo --calc /tmp/img-VND.M-62437.xls
melissa   9598  9581  0 Jun21 ?        00:03:19 /usr/lib/libreoffice/program/soffice.bin --nologo --calc /tmp/img-VND.M-62437.xls
root      9621     2  0 14:15 ?        00:00:00 [kworker/17:1-events]
root      9644     2  0 14:15 ?        00:00:00 [kworker/4:0]
root      9700     2  0 11:40 ?        00:00:00 [kworker/11:2-mm_percpu_wq]
root      9920  1109  0 Aug02 ?        00:00:00 sshd: steve [priv]
steve     9926  9920  0 Aug02 ?        00:06:00 sshd: steve@pts/2
